S. No.,LR No.,LR Date  ,Vehicle Size,Bill To,From Location,To Location,Revenue,TML Invoice No-,TML Invoice Date,Transporter Name,Transport Charges
1,20807,2022-01-31,32 FT,V-Guard Noida,Noida,Farrukhnagar,14977.0,15,2022-04-21 00:00:00,Gayatri Logistics,11000.0
2,20809,2022-03-12,32 FT,V-Guard Noida,Noida,Farrukhnagar,14977.0,27,2022-05-06 00:00:00,Safeway logistics,11000.0
3,24477,2022-03-30,20FT Flat Bad,Honeywell Automation (I) Ltd.,UTTAM NAGAR,BHIWANDI,57200.0,10,2022-04-19 00:00:00,Prabhu Logistics Pvt. Ltd.,48000.0
4,20811,2022-03-26,32 FT,V-Guard Noida,Noida,Farrukhnagar,14977.0,9,2022-04-19 00:00:00,Delhi Jaipur Tpt.,11000.0
5,24478,2022-04-01,22 FT,Grofers India Pvt.,Mahavir Enclave,Sonipat,54500.0,2,2022-04-06 00:00:00,Shankar Yadav Transport,26040.0
6,24479,2022-04-01,22 FT,Grofers India Pvt.,Mahavir Enclave,Sonipat,54500.0,2,2022-04-06 00:00:00,Shankar Yadav Transport,
7,24480,2022-04-03,22 FT,Grofers India Pvt.,Meera Bagh,Sonipat,54500.0,1,2022-04-06 00:00:00,Shankar Yadav Transport,26040.0
8,24481,2022-04-03,22 FT,Grofers India Pvt.,Meera Bagh,Sonipat,54500.0,1,2022-04-06 00:00:00,Shankar Yadav Transport,
9,22520,2022-04-04,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,43,2022-05-13 00:00:00,NRC TRANSPORT CO-,12000.0
10,22521,2022-04-04,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,43,2022-05-13 00:00:00,NRC TRANSPORT CO-,12000.0
11,21647,2022-04-05,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,42,2022-05-13 00:00:00,NRC TRANSPORT CO-,12000.0
12,21649,2022-04-07,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,11483.0,42,2022-05-13 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
13,22522,2022-04-07,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,43,2022-05-13 00:00:00,NRC TRANSPORT CO-,12000.0
14,24007,2022-04-08,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,11483.0,42,2022-05-13 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
15,22523,2022-04-08,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,48,2022-05-14 00:00:00,NEW HARYANA GOLDEN,12000.0
16,24008,2022-04-09,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,11483.0,42,2022-05-13 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
17,24009,2022-04-09,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,11483.0,42,2022-05-13 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
18,24215,2022-04-11,M. Pick up,Emphasis Electricals,Selaqui,PalamVihar,11000.0,3,2022-04-12 00:00:00,VISHAL LOGISTICS,8200.0
19,24485,2022-04-04,19/20FT,ELEXION Pvt. Ltd.,Bilaspur,Babgalore,75500.0,4,2022-04-14 00:00:00,GULSHAN TRANSPORT,65000.0
20,23308,2022-04-15,32 FT,Ariston_G-Noida_Intech Digital,Noida,Rithala,14500.0,7,2022-04-19 00:00:00,Delhi Jaipur Tpt.,11500.0
21,24416,2022-04-02,Champion,Ariston_Rithala,Rithala,Mandoli,1350.0,"0005, 0006",2022-04-18 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
22,24417,2022-04-02,Tata Ace,Ariston_Rithala,Rithala,Faridabad,3100.0,"0005, 0006",2022-04-18 00:00:00,(Shyam Kant Jha) Rama Tpt.,2100.0
23,24418,2022-04-02,17FT,Ariston_Rithala,Rithala,Uttam Nagar,4300.0,"0005, 0006",2022-04-18 00:00:00,Jai kedar Express,2800.0
24,24419,2022-04-02,Champion,Ariston_Rithala,Rithala,Farrukh Nagar,3780.0,"0005, 0006",2022-04-18 00:00:00,(Shyam Kant Jha) Rama Tpt.,2500.0
25,24420,2022-04-02,14 FT,Ariston_Rithala,Rithala,Gurgaon,4600.0,"0011, 0012",2022-04-21 00:00:00,Jai Shree Durga,3500.0
26,24421,2022-04-04,14 FT,Ariston_Rithala,Rithala,Gurgaon,4600.0,"0071, 0072",2022-05-25 00:00:00,Jai kedar Express,3500.0
27,24422,2022-04-05,Champion,Ariston_Rithala,Rithala,Mandoli,1350.0,"0005, 0006",2022-04-18 00:00:00,Sant Kumar,1100.0
28,24423,2022-04-05,14 FT,Ariston_Rithala,Rithala,Gurgaon,4600.0,"0011, 0012",2022-04-21 00:00:00,Jai Shree Durga,3500.0
29,24424,2022-04-05,14 FT,Ariston_Rithala,Rithala,Gurgaon,4600.0,"0011, 0012",2022-04-21 00:00:00,Jai Shree Durga,3500.0
30,24425,2022-04-05,Tata Ace,Ariston_Rithala,Rithala,Mandoli,1475.0,"0005, 0006",2022-04-18 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
31,24426,2022-04-05,19/20FT,Ariston_Rithala,Rithala,Ambala,11150.0,"0029, 0030",2022-05-07 00:00:00,Vijay logistics,9300.0
32,24427,2022-04-06,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0005, 0006",2022-04-18 00:00:00,Sant Kumar,1100.0
33,24428,2022-04-06,Tata 407,Ariston_Rithala,Rithala,Gurgaon,4250.0,"0005, 0006",2022-04-18 00:00:00,Mainpal Tempo,3000.0
34,24429,2022-04-06,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0005, 0006",2022-04-18 00:00:00,Sant Kumar,1100.0
35,24430,2022-04-06,Champion,Ariston_Rithala,Rithala,"G, Noida",3600.0,"0005, 0006",2022-04-18 00:00:00,(Shyam Kant Jha) Rama Tpt.,2300.0
36,24431,2022-04-06,Tata 407,Ariston_Rithala,Rithala,Haldwani,13500.0,"0029, 0030",2022-05-07 00:00:00,Vijay logistics,1000.0
37,24432,2022-04-06,Tata 407,Ariston_Rithala,Rithala,Haldwani,0.0,"0029, 0030",2022-05-07 00:00:00,Vijay logistics,9000.0
38,24433,2022-04-06,24FT,Ariston_Rithala,Rithala,Ambala,13000.0,"0029, 0030",2022-05-07 00:00:00,Vijay logistics,10400.0
39,24434,2022-04-06,Tata 407,Ariston_Rithala,Rithala,Ambala,8500.0,"0029, 0030",2022-04-21 00:00:00,Jai Shree Durga,6500.0
40,24435,2022-04-07,Champion,Ariston_Rithala,Rithala,Mandoli,1350.0,"0005, 0006",2022-04-18 00:00:00,Sant Kumar,1100.0
41,24436,2022-04-07,19/20FT,Ariston_Rithala,Rithala,Sri Nagar,55000.0,"0023, 0024",2022-04-29 00:00:00,GULSHAN TRANSPORT,51000.0
42,24437,2022-04-07,Tata 407,Ariston_Rithala,Rithala,Gurgaon,4250.0,"0011, 0012",2022-04-21 00:00:00,Jai Shree Durga,3000.0
43,24438,2022-04-07,Tata Ace,Ariston_Rithala,Rithala,Ashok vihar,1475.0,"0005, 0006",2022-04-18 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
44,21440,2022-04-07,Tata Ace,Ariston_Rithala,Ashok vihar,Rithala,738.0,85,2022-05-28 00:00:00,(Shyam Kant Jha) Rama Tpt.,600.0
45,24439,2022-04-07,17FT,Ariston_Rithala,Rithala,Amritsar,19800.0,"0011, 0012",2022-04-21 00:00:00,Jai kedar Express,15000.0
46,24440,2022-04-07,17FT,Ariston_Rithala,Rithala,Jalandhar,1700.0,"0011, 0012",2022-04-21 00:00:00,Jai kedar Express,1000.0
47,24441,2022-04-08,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0005, 0006",2022-04-18 00:00:00,Sant Kumar,1100.0
48,24442,2022-04-08,Champion,Ariston_Rithala,Rithala,Chittanjan Park,1350.0,"0005, 0006",2022-04-18 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
49,24443,2022-04-08,14 FT,Ariston_Rithala,Rithala,Ambala,9250.0,"0011, 0012",2022-04-21 00:00:00,Mainpal Tempo,7000.0
50,24444,2022-04-09,32 FT,Ariston_Rithala,Rithala,Rishikesh,23500.0,"0071, 0072",2022-05-25 00:00:00,Alpha logistics,21000.0
51,24445,2022-04-12,Champion,Ariston_Rithala,Rithala,Noida,3000.0,"0023, 0024",2022-04-29 00:00:00,Sant Kumar,2100.0
52,21441,2022-04-12,Champion,Ariston_Rithala,Noida,Rithala,1500.0,85,2022-05-28 00:00:00,Sant Kumar,1050.0
53,24446,2022-04-12,Champion,Ariston_Rithala,Rithala,chhatarpur,1350.0,"0011, 0012",2022-04-21 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
54,24447,2022-04-12,M. Pick up,Ariston_Rithala,Rithala,Hauz khas,2300.0,"0023, 0024",2022-04-29 00:00:00,Jai Shree Durga,1500.0
55,24501,2022-04-13,Champion,Ariston_Rithala,Rithala,chhatarpur,1350.0,"0011, 0012",2022-04-21 00:00:00,Sant Kumar,1100.0
56,24502,2022-04-13,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0011, 0012",2022-04-21 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
57,24503,2022-04-13,14 FT,Ariston_Rithala,Rithala,Jaipur,9800.0,"0011, 0012",2022-04-21 00:00:00,Jai kedar Express,8500.0
58,21442,2022-04-14,14 FT,Ariston_Rithala,Jaipur,Rithala,4900.0,85,2022-05-28 00:00:00,Jai kedar Express,4250.0
59,24504,2022-04-14,Champion,Ariston_Rithala,Rithala,"G, Noida",3600.0,"0023, 0024",2022-04-29 00:00:00,Sant Kumar,2300.0
60,24505,2022-04-14,Champion,Ariston_Rithala,Rithala,Tikri kalan,1350.0,"0011, 0012",2022-04-21 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
61,24506,2022-04-14,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0071, 0072",2022-05-25 00:00:00,Vijay logistics,200.0
62,24507,2022-04-14,Champion,Ariston_Rithala,Rithala,Gurgaon,0.0,"0071, 0072",2022-05-25 00:00:00,Vijay logistics,2200.0
63,24508,2022-04-15,Champion,Ariston_Rithala,Rithala,Bahadurgarh,2800.0,"0071, 0072",2022-05-25 00:00:00,(Shyam Kant Jha) Rama Tpt.,1600.0
64,24509,2022-04-16,24FT,Ariston_Rithala,Rithala,Hissar,16000.0,"0071, 0072",2022-05-25 00:00:00,Vijay logistics,13500.0
65,24510,2022-04-16,Champion,Ariston_Rithala,Rithala,Farrukh Nagar,3780.0,"0029, 0030",2022-05-07 00:00:00,(Shyam Kant Jha) Rama Tpt.,2500.0
66,24072,2022-04-02,32 FT,VG_KA-YN-Harid-Roorkee,Bahadurgarh,Farrukh Nagar,12422.0,70,2022-05-25 00:00:00,Delhi Jaipur Tpt.,9500.0
67,24073,2022-04-04,32 FT,VG_KA-YN-Harid-Roorkee,Bahadurgarh,Farrukh Nagar,12422.0,70,2022-05-25 00:00:00,Delhi Jaipur Tpt.,9500.0
68,24074,2022-04-08,32 FT,VG_KA-YN-Harid-Roorkee,Bahadurgarh,Farrukh Nagar,12422.0,70,2022-05-25 00:00:00,Delhi Jaipur Tpt.,9500.0
69,24075,2022-04-15,32 FT,VG_KA-YN-Harid-Roorkee,Bahadurgarh,Farrukh Nagar,12422.0,70,2022-05-25 00:00:00,Delhi Jaipur Tpt.,9500.0
70,22289,2022-04-08,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8450.0,21,2022-04-29 00:00:00,Radhey krishna logistics,6300.0
71,22290,2022-04-08,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8450.0,21,2022-04-29 00:00:00,Radhey krishna logistics,6300.0
72,22291,2022-04-12,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8450.0,21,2022-04-29 00:00:00,Radhey krishna logistics,6300.0
73,22292,2022-02-14,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8450.0,45,2022-05-13 00:00:00,Radhey krishna logistics,6300.0
74,21534,2022-04-04,Champion,Avon_Beauty,Rithala ,Rohini,700.0,13,2022-04-21 00:00:00,Sant kumar,500.0
75,21535,2022-04-14,Champion,Avon_Beauty,Rithala ,Badarpur,1500.0,13,2022-04-21 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
76,22524,2022-04-12,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,48,2022-05-14 00:00:00,NEW HARYANA GOLDEN,12000.0
77,22525,2022-04-13,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,43,2022-05-13 00:00:00,NRC TRANSPORT CO-,12000.0
78,24010,2022-04-13,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,11483.0,42,2022-05-13 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
79,24011,2022-04-14,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,LUDHIYANA,8695.0,44,2022-05-13 00:00:00,NRC TRANSPORT CO-,7500.0
80,22526,2022-04-18,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,43,2022-05-13 00:00:00,NRC TRANSPORT CO-,12000.0
81,25003,2022-04-11,19/20FT,Honeywell Ele. Dev.& Sys,Selaqui,BILASPUR,11005.0,75,2022-05-25 00:00:00,BABA DEVGIRI ROADLINES,9000.0
82,25004,2022-04-14,19/20FT,Honeywell Ele. Dev.& Sys,Selaqui,BILASPUR,11098.0,31,2022-05-07 00:00:00,BABA DEVGIRI ROADLINES,9000.0
83,18818,2022-04-16,PART,Concept Pharma,ROORKEE,CHENNAI,32000.0,25,2022-04-30 00:00:00,VISHAL LOGISTICS,28000.0
84,24484,2022-04-08,22 FT16TON,Honeywell Automation (I) Ltd.,Jalandhar,Bilaspur,25950.0,53,2022-05-16 00:00:00,Tera Tera (13-13) Transport Co.,23540.0
85,20298,2022-04-08,PTL,Source For Future Ventures,Mysore,Pune,4672.0,8,2022-04-19 00:00:00,TQS Logistics Services Pv. Ltd.,3505.0
86,24512,2022-04-18,M. Pick up,Ariston_Rithala,Rithala,Gurgaon,3500.0,"0023, 0024",2022-04-29 00:00:00,Jai Shree Durga,2500.0
87,24513,2022-04-18,Champion,Ariston_Rithala,Rithala,"G, Noida",3600.0,"0023, 0024",2022-04-29 00:00:00,Sant Kumar,2300.0
88,24514,2022-04-18,17FT,Ariston_Rithala,Rithala,Lucknow,23005.0,"0023, 0024",2022-04-29 00:00:00,Mainpal Tempo,19000.0
89,24515,2022-04-19,Champion,Ariston_Rithala,Rithala,Gurgaon,2800.0,"0029, 0030",2022-05-07 00:00:00,(Shyam Kant Jha) Rama Tpt.,2300.0
90,24516,2022-04-19,Champion,Ariston_Rithala,Rithala,Gurgaon,300.0,"0029, 0030",2022-05-07 00:00:00,(Shyam Kant Jha) Rama Tpt.,200.0
91,24517,2022-04-19,Tata 407,Ariston_Rithala,Rithala,Patel Nagar,2800.0,"0029, 0030",2022-05-07 00:00:00,Jai Shree Durga,2000.0
92,24518,2022-04-19,Tata Ace,Ariston_Rithala,Rithala,Mandoli,1475.0,"0023, 0024",2022-04-29 00:00:00,Jai Shree Durga,1100.0
93,24519,2022-04-19,Tata Ace,Ariston_Rithala,Rithala,Shakarpur,300.0,"0023, 0024",2022-04-29 00:00:00,Jai Shree Durga,300.0
94,24520,2022-04-19,Tata Ace,Ariston_Rithala,Rithala,Farrukh Nagar,4095.0,"0029, 0030",2022-05-07 00:00:00,(Shyam Kant Jha) Rama Tpt.,2500.0
95,24521,2022-04-19,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0029, 0030",2022-05-07 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
96,23309,2022-04-20,32 FT,Ariston_G-Noida_Intech Digital,Noida,Rithala,14500.0,14,2022-04-21 00:00:00,Safeway logistics,11500.0
97,25186,2022-04-02,32 FT,Dr. Oetker,NOIDA,LUCKNOW,40000.0,36,2022-05-09 00:00:00,Alpha logistics,35000.0
98,24483,2022-04-07,20FT 7.5TON,Honeywell Ele. Dev.& Sys,HYDERABAD,ROOPAR,92000.0,18,2022-04-26 00:00:00,SUPER INDIA FREIGHT,82000.0
99,25192,2022-04-12,19/20FT,Dr. Oetker,NOIDA,BHIWADI,9500.0,37,2022-05-09 00:00:00,MISHRI YADAV,8500.0
100,15193,2022-04-15,19/20FT,Dr. Oetker,NOIDA,BHIWADI,9500.0,37,2022-05-09 00:00:00,MISHRI YADAV,8500.0
101,15194,2022-04-15,19/20FT,Dr. Oetker,NOIDA,BHIWADI,9500.0,37,2022-05-09 00:00:00,MISHRI YADAV,8500.0
102,25195,2022-04-15,19/20FT,Dr. Oetker,NOIDA,BHIWADI,9500.0,37,2022-05-09 00:00:00,MISHRI YADAV,8500.0
103,24486,2022-04-19,19/20FT,Dharampal Satyapal,G.NOIDA,KOLKATA,53225.0,39,2022-05-10 00:00:00,MISHRI YADAV,51000.0
104,25216,2022-04-20,17FT,Dr. Oetker,NOIDA,ZIRAKPUR,14000.0,36,2022-05-09 00:00:00,DELHI GOODS,13000.0
105,22527,2022-04-19,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,43,2022-05-13 00:00:00,NRC TRANSPORT CO-,12000.0
106,22528,2022-04-21,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,43,2022-05-13 00:00:00,NRC TRANSPORT CO-,12000.0
107,22529,2022-04-22,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13942.0,43,2022-05-13 00:00:00,NRC TRANSPORT CO-,12000.0
108,24012,2022-04-23,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,11483.0,42,2022-05-13 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
109,25005,2022-04-21,19/20FT,Honeywell Ele. Dev.& Sys,Selaqui,BILASPUR,11005.0,75,2022-05-25 00:00:00,Nath Roadline,9000.0
110,18819,2022-04-22,PART,Concept Pharma,ROORKEE,RAIPUR,22000.0,25,2022-04-30 00:00:00,VISHAL LOGISTICS,19000.0
111,22530,2022-04-25,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,48,2022-05-14 00:00:00,NEW HARYANA GOLDEN,12000.0
112,24013,2022-04-25,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,11483.0,42,2022-05-13 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
113,22531,2022-04-27,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,43,2022-05-13 00:00:00,NRC TRANSPORT CO-,12000.0
114,24014,2022-04-27,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,11483.0,42,2022-05-13 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
115,24015,2022-04-30,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,11483.0,42,2022-05-13 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
116,24016,2022-04-30,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,11483.0,42,2022-05-13 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
117,22532,2022-04-30,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13912.0,43,2022-05-13 00:00:00,NRC TRANSPORT CO-,12000.0
118,18820,2022-04-25,M. Pick up,Honeywell Ele. Dev.& Sys,Selaqui,NOIDA,11000.0,67,2022-05-24 00:00:00,VISHAL LOGISTICS,6000.0
119,24076,2022-04-19,32 FT,VG_KA-YN-Harid-Roorkee,Bahadurgarh,Farrukh Nagar,12422.0,70,2022-05-25 00:00:00,Delhi Jaipur Tpt.,9500.0
120,24077,2022-04-22,32 FT,VG_KA-YN-Harid-Roorkee,Bahadurgarh,Farrukh Nagar,12422.0,70,2022-05-25 00:00:00,Delhi Jaipur Tpt.,9500.0
121,22293,2022-04-19,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8450.0,21,2022-04-29 00:00:00,Radhey krishna logistics,6300.0
122,22294,2022-04-22,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8450.0,45,2022-05-13 00:00:00,Radhey krishna logistics,6300.0
123,24522,2022-04-21,Tata 407,Ariston_Rithala,Rithala,Gurgaon,4500.0,"0029, 0030",2022-05-07 00:00:00,Jai Shree Durga,3000.0
124,24523,2022-04-22,Champion,Ariston_Rithala,Rithala,Ghaziabad,3000.0,"0023, 0024",2022-04-29 00:00:00,Sant Kumar,2100.0
125,24524,2022-04-25,Champion,Ariston_Rithala,Rithala,chhatarpur,1350.0,"0023, 0024",2022-04-29 00:00:00,Sant Kumar,1100.0
126,22201,2022-04-06,19/20FT,V-Guard-Kundli_Vardhman,Kundli,Farrukh Nagar,8450.0,21,2022-04-29 00:00:00,Radhey krishna logistics,6300.0
127,21536,2022-04-20,Champion,Avon_Beauty,Rithala ,Rohini,750.0,20,2022-04-29 00:00:00,Sant kumar,500.0
128,21537,2022-04-23,Champion,Avon_Beauty,Rithala ,Rohini,1500.0,20,2022-04-29 00:00:00,Sant kumar,1100.0
129,21538,2022-04-23,19/20FT,Avon_Beauty,Rithala ,Kolkata,60000.0,61,2022-05-21 00:00:00,MISHRI YADAV,52000.0
130,24487,2022-04-22,22 FT16TON,Honeywell Automation (I) Ltd.,Jalandhar,Bilaspur,20749.0,54,2022-05-16 00:00:00,Tera Tera (13-13) Transport Co.,15600.0
131,24488,2022-04-22,19/20FT,Dharampal Satyapal,G.NOIDA,RANCHI,53000.0,76,2022-05-26 00:00:00,MISHRI YADAV,50000.0
132,24489,2022-04-23,19/20FT,Dharampal Satyapal,G.NOIDA,KOLKATA,53225.0,88,2022-05-30 00:00:00,MISHRI YADAV,51000.0
133,24490,2022-04-26,17FT,Honeywell Automation (I) Ltd.,G.NOIDA,BHIWANDI,40000.0,68,2022-05-24 00:00:00,GULSHAN TRANSPORT,35000.0
134,24491,2022-04-26,M. Pick up,Honeywell Ele. Dev.& Sys,G.NOIDA,SELAQUI,11000.0,40,2022-05-11 00:00:00,MISHRI YADAV,9500.0
135,24492,2022-04-26,M. Pick up,Honeywell Ele. Dev.& Sys,G.NOIDA,SELAQUI,0.0,40,2022-05-11 00:00:00,MISHRI YADAV,
136,24493,2022-04-26,M. Pick up,Honeywell Ele. Dev.& Sys,G.NOIDA,SELAQUI,0.0,40,2022-05-11 00:00:00,MISHRI YADAV,
137,25229,2022-04-26,TATA ACE,Dr. Oetker,NOIDA,HISAR,8250.0,36,2022-05-09 00:00:00,MISHRI YADAV,7000.0
138,21443,2022-04-23,M. Pick up,Purple Product,Rithala,Alipur,2000.0,19,2022-04-28 00:00:00,(Shyam Kant Jha) Rama Tpt.,1500.0
139,20498,2022-04-28,19/20FT,Ariston_Pune,M.B. deco kundli,Rithala,7000.0,22,2022-04-29 00:00:00,Dada Jodha Tpt.,6500.0
140,17467,2022-04-30,M. Pick up,Honeywell international,Mangaon,Gurgaon,12000.0,69,2022-05-24 00:00:00,Apex Experess,6500.0
141,24511,2022-04-16,Champion,Ariston_Rithala,Rithala,Farrukh Nagar,1890.0,85,2022-05-28 00:00:00,(Shyam Kant Jha) Rama Tpt.,1250.0
142,24525,2022-04-25,14 FT,Ariston_Rithala,Rithala,Zirakpur,9800.0,"0029, 0030",2022-05-07 00:00:00,Jai kedar Express,8000.0
143,24526,2022-04-25,14 FT,Ariston_Rithala,Rithala,Ambala,1200.0,"0029, 0030",2022-05-07 00:00:00,Jai kedar Express,1000.0
144,24527,2022-04-26,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0029, 0030",2022-05-07 00:00:00,Sant Kumar,1100.0
145,24528,2022-04-28,Tata 407,Ariston_Rithala,Rithala,"G, Noida",4922.0,"0071, 0072",2022-05-25 00:00:00,Vijay logistics,3500.0
146,24529,2022-04-29,Tata 407,Ariston_Rithala,Rithala,Shakti Nagar,2800.0,"0029, 0030",2022-05-07 00:00:00,Arun Tempo,2500.0
147,21444,2022-04-29,Tata 407,Ariston_Rithala,Shakti Nagar,Rithala,1400.0,85,2022-05-28 00:00:00,Arun Tempo,1500.0
148,24530,2022-04-29,19/20FT,Ariston_Rithala,Rithala,Jaipur,12900.0,"0029, 0030",2022-05-07 00:00:00,Jai Shree Durga,11500.0
149,24531,2022-04-29,Champion,Ariston_Rithala,Rithala,Binola,3780.0,"0029, 0030",2022-05-07 00:00:00,(Shyam Kant Jha) Rama Tpt.,2500.0
150,24532,2022-04-30,Tata 407,Ariston_Rithala,Rithala,Farrukh Nagar,4935.0,"0029, 0030",2022-05-07 00:00:00,Arun Tempo,4000.0
151,24533,2022-04-30,Champion,Ariston_Rithala,Rithala,Safdargunj,1350.0,"0029, 0030",2022-05-07 00:00:00,Sant Kumar,1100.0
152,24078,2022-04-28,32 FT,VG_KA-YN-Harid-Roorkee,Bahadurgarh,Farrukh Nagar,12422.0,70,2022-05-25 00:00:00,Delhi Jaipur Tpt.,9500.0
153,23310,2022-04-28,32 FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15458.0,46,2022-05-13 00:00:00,Gayatri Logistics,11500.0
154,23311,2022-04-28,32 FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15458.0,46,2022-05-13 00:00:00,Gayatri Logistics,11500.0
155,23312,2022-04-28,32 FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15458.0,78,2022-05-26 00:00:00,Delhi Jaipur Tpt.,11000.0
156,23313,2022-04-29,32 FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15458.0,78,2022-05-26 00:00:00,Delhi Jaipur Tpt.,11000.0
157,23314,2022-04-29,32 FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15458.0,78,2022-05-26 00:00:00,Safeway logistics,11500.0
158,24551,2022-04-27,19/20FT,Jainsons International,Barhi,Farrukh Nagar,8450.0,77,2022-05-26 00:00:00,Radhey krishna logistics,7500.0
159,24552,2022-04-28,14 FT,Jainsons International,Barhi,Farrukh Nagar,6956.0,77,2022-05-26 00:00:00,Dada Jodha Tpt.,6000.0
160,21445,2022-04-30,Tata Ace,Avon_Beauty,Kherki Daula,Rithala,3500.0,38,2022-05-10 00:00:00,Delhi Jaipur Tpt.,2500.0
161,21539,2022-04-29,Tata Ace ,Avon_Beauty,Rithala ,Kherki Daulan,3500.0,38,2022-05-10 00:00:00,(Shyam Kant Jha) Rama Tpt.,2500.0
162,22295,2022-04-25,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8450.0,45,2022-05-13 00:00:00,Radhey krishna logistics,6300.0
163,22296,2022-04-28,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8450.0,45,2022-05-13 00:00:00,Radhey krishna logistics,6300.0
164,22297,2022-04-30,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8450.0,82,2022-05-27 00:00:00,Dada Jodha Tpt.,6500.0
165,20250,2022-04-02,TATA ACE,Honeywell International,BILASPUR,ANAND PARWAT,4949.0,122,2022-06-11 00:00:00,Shankar Yadav Transport,4500.0
