S. No.,LR No.,LR Date  ,Vehicle Size,Bill To,From Location,To Location,Revenue,TML Invoice No-,TML Invoice Date,Transporter Name,Transport Charges
517,23345,2022-05-30,32 FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15737.0,148,2022-06-23 00:00:00,New Haryana Roadlines India,12000.0
518,23346,2022-05-31,32 FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15737.0,129,2022-06-17 00:00:00,Mohan Vendor,13000.0
519,23347,2022-05-31,32 FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15737.0,153,2022-06-27 00:00:00,New Haryana Roadlines India,12000.0
520,24855,2022-05-24,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8603.0,112,2022-06-08 00:00:00,Radhey krishna logistics,6800.0
521,24856,2022-05-27,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8603.0,112,2022-06-08 00:00:00,Radhey krishna logistics,6800.0
522,24857,2022-05-28,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8603.0,112,2022-06-08 00:00:00,Radhey krishna logistics,6800.0
523,24858,2022-05-31,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8603.0,112,2022-06-08 00:00:00,Radhey krishna logistics,6800.0
524,22061,2022-05-30,19/20FT,VG_Kundli_Anil Eng.,Kundli,Farrukh Nagar,8603.0,111,2022-06-08 00:00:00,Radhey krishna logistics,6800.0
525,22062,2022-05-31,14 FT,VG_Kundli_Anil Eng.,Kundli,Farrukh Nagar,7082.0,111,2022-06-08 00:00:00,Radhey krishna logistics,6000.0
526,25603,2022-05-24,22 FT 12 tn,Honeywell Automation (I) Ltd.,Jalandhar,Gurgaon,18214.0,127,2022-06-14 00:00:00,Tera Tera (13-13) Transport Co.,14900.0
527,25656,2022-06-07,32 FT,Ariston_G-Noida_Intech Digital,Noida,Rithala,14500.0,115,2022-06-09 00:00:00,Safeway logistics,11500.0
528,25371,2022-06-01,CHAMPION,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,MISHRI YADAV,0.0
529,25392,2022-06-01,CHAMPION,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,MISHRI YADAV,0.0
